FHDI_Food_ID,Food_Name,Scientific_Name,Common_Name,Description,Group,Subgroup,ITIS_ID,FoodB_ID,DTU_ID,Taxonomy_ID,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Drug homologous food
F00012,Pepper,Piper nigrum,NA,"Black pepper (Piper nigrum) is a flowering vine in the family Piperaceae, cultivated for its fruit, which is usually dried and used as a spice and seasoning.",Spices,Spices,18310,FOOD00139,236,13216,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Piperales,Piperaceae,Piper,"Pepper is one of the commonly used seasonings and can be processed into pepper powder, eastern spices were one of the most expensive items of the Middle Ages."
F00013,American Cranberry,Vaccinium macrocarpon,NA,"Vaccinium macrocarpon (also called Large cranberry, American Cranberry and Bearberry) is a cranberry of the subgenus Oxycoccus and genus Vaccinium.",Fruits,Berries,23599,FOOD00192,NA,13750,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Ericaceae,Vaccinium,NA
F00014,European Cranberry,Vaccinium oxycoccos,NA,"Vaccinium oxycoccos is a species of flowering plant in the heath family. It is known by the common names small cranberry, bog cranberry, and swamp cranberry. It is native to northern North America, Europe, and Asia.",Fruits,Berries,505635,FOOD00217,NA,516948,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Ericaceae,Vaccinium,NA
F00015,Turmeric,Curcuma longa,NA,"Turmeric (Curcuma longa) is a rhizomatous herbaceous perennial plant of the ginger family, Zingiberaceae.",Spices,Spices,42394,FOOD00068,NA,136217,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Zingiberales,Zingiberaceae,Curcuma,"Turmeric root powder (used as a cooking seasoning, especially in curry)"
F00016,Yogurt,NA,NA,"Yogurt, yoghurt, or yoghourt is a fermented milk product produced by bacterial fermentation of milk.",Milk and milk products,Fermented milk products,NA,FOOD00620,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
F00017,Clementine,Citrus × clementina,NA,"Clementine or easy peeler (British English) is a tangor, a citrus fruit hybrid between a willowleaf mandarin orange and a sweet orange named for its late 19th-century discoverer.",Fruits,Citrus,NA,FOOD00959,NA,85681,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,NA
F00018,Spinach,Spinacia oleracea,NA,Spinach (Spinacia oleracea) is an edible flowering plant in the family of Amaranthaceae. It is native to central and southwestern Asia.,Vegetables,Leaf vegetables,20709,FOOD00178,50,3562,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,Spinacia,NA
F00019,Grape,Vitis,NA,"A grape is a fruiting berry of the deciduous woody vines of the botanical genus Vitis. Grapes can be eaten raw or they can be used for making wine, jam, juice, jelly, grape seed extract, raisins, vinegar, and grape seed oil. ",Fruits,Berries,28606,FOOD00369,54,3603,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Vitales,Vitaceae,No Rank at Level Genus,NA
F00020,Banana,Musa acuminata,NA,A banana is an edible fruit produced by several kinds of large herbaceous flowering plants in the genus Musa.,Fruits,Tropical fruits,42390,FOOD00208,3,4641,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Zingiberales,Musaceae,Musa,NA
F00021,Lime,Citrus aurantiifolia,NA,"The Key lime (Citrus × aurantiifolia) is a citrus species with a globose fruit, 2.5-5 cm in diameter (1-2 in), that is yellow when ripe but usually picked green commercially.",Fruits,Citrus,506403,FOOD00053,464,159033,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,NA
F00022,Red Wine,NA,NA,"Red wine is a type of wine made from dark-colored (black) grape varieties. The actual color of the wine can range from intense violet, typical of young wines, through to brick red for mature wines and brown for older red wines.",Beverages,Fermented beverages,NA,FOOD00911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F00023,Chocolate,NA,NA,"Chocolate is a range of products derived from cocoa, mixed with fat (i.e. cocoa butter and/or plant oils) and finely powdered sugar to produce a solid confection.",Cocoa and cocoa products,Cocoa products,NA,FOOD00687,1022,NA,NA,NA,NA,NA,NA,NA,NA,NA
F00024,Milk (Cow),NA,NA,"As an agricultural product, milk is extracted from mammals during or soon after pregnancy and used as food for humans.",Milk and milk products,Unfermented milks,NA,FOOD00618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F00025,Potato,Solanum tuberosum,NA,"The potato is a starchy, tuberous crop from the perennial Solanum tuberosum of the Solanaceae family (also known as the nightshades). The word may refer to the plant itself as well as the edible tuber.",Vegetables,Tubers,505272,FOOD00175,4,4113,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,NA
F00026,Garden Tomato,Solanum lycopersicum,NA,"The tomato is the edible, often red fruit/berry of the nightshade Solanum lycopersicum, commonly known as a tomato plant.",Vegetables,Fruit vegetables,521671,FOOD00171,52,4081,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,NA
F00027,Garlic,Allium sativum,NA,"With a history of human use of over 7,000 years, garlic (Allium sativum) is native to central Asia, and has long been a staple in the Mediterranean region, as well as a frequent seasoning in Asia, Africa, and Europe.",Vegetables,Onion-family vegetables,42652,FOOD00008,205,4682,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Allium,NA
F00028,Sesame,Sesamum orientale,NA,"Sesame is a flowering plant in the genus Sesamum. Numerous wild relatives occur in Africa and a smaller number in India. It is widely naturalized in tropical regions around the world and is cultivated for its edible seeds, which grow in pods.",Spices,Oilseed crops,505186,FOOD00170,370,4182,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Pedaliaceae,Sesamum,"Nowadays, sesame is one of the main oil crops in China and also one of the top four edible oil crops."
F00029,Oat,Avena sativa,NA,"The common oat (Avena sativa) is a species of cereal grain grown for its seed, which is known by the same name (usually in the plural, unlike other grains). While oats are suitable for human consumption as oatmeal and rolled oats, one of the most common uses is as livestock feed.",Cereals and cereal products,Cereals,41459,FOOD00022,59,4498,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Avena,NA
F00030,Black Tea,NA,NA,"Black tea is a type of tea that is more oxidized than oolong, green, and white teas.Black tea is generally stronger in flavour than other teas.It is made from leaves of the shrub (or small tree) Camellia sinensis.",Beverages,Teas,NA,FOOD00907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F00031,Roselle,Hibiscus sabdariffa,NA,"The roselle (Hibiscus sabdariffa) is a species of Hibiscus native to the west Africa, used for the production of bast fibre and as an infusion.",Beverages,Flower tea,503001,FOOD00447,NA,183260,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Hibiscus,NA
F00032,Shiitake,Lentinus edodes,NA,"The Shiitake (Lentinula edodes) is an edible mushroom native to East Asia, which is cultivated and consumed in many Asian countries. It is a feature of many Asian cuisines. It is also considered a medicinal mushroom in some forms of traditional medicine.",Vegetables,Mushrooms,NA,FOOD00548,NA,5353,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Lentinula,Lentinus edodes are also famous medicinal mushrooms in China. Chinese medical scholars throughout history have written about the medicinal properties and functions of shiitake mushrooms.
F00033,Ginger,Zingiber officinale,NA,"Ginger or ginger root is the rhizome of the plant Zingiber officinale, consumed as a delicacy, medicine, or spice. It lends its name to its genus and family. Other notable members of this plant family are turmeric, cardamom, and galangal.",Spices,Spices,42402,FOOD00206,62,94328,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Zingiberales,Zingiberaceae,Zingiber,"The rhizome is used for medicine, and fresh or dry products can be used as cooking ingredients or made into Pickled vegetables and ginger. Aromatic oils can be extracted from stems, leaves, and rhizomes and used in food, beverage, and cosmetic flavorings."
F00034,Bitter Gourd,Momordica charantia,NA,"Momordica charantia often called bitter melon, bitter gourd or bitter squash in English, has many other local names. It is a tropical and subtropical vine of the family Cucurbitaceae, widely grown in Asia, Africa, and the Caribbean for its edible fruit, which is among the most bitter of all fruits.",Gourds,Gourds,22399,FOOD00115,NA,3673,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Momordica,NA
F00035,Garden Cress,Lepidium sativum,NA,"Cress (Lepidium sativum), sometimes referred to as garden cress to distinguish it from similar plants also referred to as cress. Garden Cress is a rather fast-growing, edible herb. Garden cress is genetically related to watercress and mustard, sharing their peppery, tangy flavor and aroma.",Vegetables,Leaf vegetables,22978,FOOD00099,NA,33125,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Lepidium,NA
F00036,Areca Catechu,NA,NA,NA,Nuts,Nuts,NA,NA,NA,184783,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Arecales,Arecaceae,Areca,NA
F00037,Sour Orange,Citrus aurantium,NA,"Sour orange, bigarade orange,bitter orange, Seville orange, or marmalade orange is the citrus tree Citrus × aurantium and its fruit. It is native to southeast Asia and has been spread by humans to many parts of the world.",Fruits,Citrus,NA,FOOD00918,NA,43166,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,NA
F00038,Cinnamon,Cinnamomum,NA,"Cinnamon is a spice obtained from the inner bark of several trees from the genus Cinnamomum that is used in both sweet and savoury foods. While Cinnamomum verum is sometimes considered to be ""true cinnamon"", most cinnamon in international commerce is derived from related species, which are also referred to as ""cassia"" to distinguish them from ""true cinnamon"".",Spices,Spices,18174,FOOD00572,1096,13428,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Laurales,Lauraceae,No Rank at Level Genus,"Cinnamon has a high economic value. Cinnamon powder is usually used to bake bread, Dim sum, and pickle meat in western countries. Cinnamon oil can be extracted from various parts of cinnamon, which can be used as cosmetics raw materials, as well as chocolate and cigarette ingredients."
F00039,Anise,Pimpinella anisum,NA,"Anise, Pimpinella anisum, also called aniseed, is a flowering plant in the family Apiaceae native to the eastern Mediterranean region and Southwest Asia. Its flavor has similarities with some other spices, such as star anise, fennel and liquorice.",Vegetables,Stalk vegetables,29822,FOOD00137,NA,271192,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Pimpinella,"The skin, seeds, and leaves all contain aromatic oil, known as star anise oil (also known as anise oil), which is an important raw material in the manufacturing of cosmetics, sweet wine, beer, and food industries."
F00040,Papaya,Carica papaya,NA,"The papaya, papaw, or pawpaw is the fruit of the plant Carica papaya, the sole species in the genus Carica of the plant family Caricaceae.",Fruits,Tropical fruits,22324,FOOD00041,510,3649,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Caricaceae,Carica,"Papaya, along with bananas and pineapples, is known as the ""three major tropical herbaceous fruit trees"". Its fruits are rich in nutrients, including amino acids, vitamins, and trace elements; The meat is fragrant, sweet, and juicy; Papaya can also be used for processing, including canned fruits, preserved fruits, dried fruits, etc"
F00041,Olive,Olea europaea,NA,"The olive is the fruit of the olive tree (Olea europaea, meaning ""Oil from/of Europe""). It is an important food crop in countries around the Mediterranean Sea, and places with a Mediterranean climate. The olive is of major agricultural importance in the Mediterranean region as the source of olive oil; it is one of the three core ingredients in Mediterranean cuisine.",Vegetables,Fruit vegetables,32990,FOOD00121,371,4146,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Oleaceae,Olea,NA
F00042,Rosemary,Rosmarinus officinalis,NA,"Rosmarinus officinalis, commonly known as rosemary, is a woody, perennial herb with fragrant, evergreen, needle-like leaves and white, pink, purple, or blue flowers, native to the Mediterranean region. It is a member of the mint family Lamiaceae, which includes many other herbs.",Spices,Spices,32677,FOOD00159,NA,39367,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,NA
F00043,Jujube,Ziziphus jujuba,NA,"Ziziphus jujuba, commonly called jujube (sometimes jujuba), red date, Chinese date, Korean date, or Indian date is a species of Ziziphus in the buckthorn family (Rhamnaceae), used primarily as a shade tree that also bears fruit.",Fruits,Other fruits,28598,FOOD00388,NA,326968,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rhamnaceae,Ziziphus,"There are many beverages and foods processed with sour dates, such as sour date cake, sour date juice, sour date powder, sour date wine, etc"
F00044,Kale,Brassica napus var. pabularia,NA,"Kale or borecole is a form of cabbage, with green or purple leaves, in which the central leaves do not form a head. It is considered to be closer to wild cabbage than most domesticated forms. The species Brassica oleracea contains a wide array of vegetables, including broccoli, cauliflower, collard greens, and brussels sprouts. ",Vegetables,Cabbages,530956,FOOD00390,23,2070381,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,NA
F00045,Maitake,Grifola frondosa,NA,"Grifola frondosa is a polypore mushroom that grows in clusters at the base of trees, particularly oaks. The mushroom is commonly known among English speakers as hen-of-the-woods, ram's head and sheep's head. In the United States' supplement market, as well as in Asian grocery stores, the mushroom is known by its Japanese name maitake, which means ""dancing mushroom"". ",Vegetables,Mushrooms,NA,FOOD00555,NA,5627,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Grifolaceae,Grifola,"Maitake is a fungus used in both food and medicine. It often grows wild around chestnut trees in summer and autumn. Its nutrition has good health function and high medicinal value. In recent years, as a kind of health food, popular in Japan, Singapore and other markets."
F00046,Honey,NA,NA,"Honey is a sweet food made by bees using nectar from flowers. The variety produced by honey bees is the one most commonly referred to, as it is the type of honey collected by beekeepers and consumed by humans. Honey produced by other bees and insects has distinctly different properties. Honey bees transform nectar into honey by a process of regurgitation and evaporation.",Confectioneries,Other confectioneries,NA,FOOD00626,1176,NA,NA,NA,NA,NA,NA,NA,NA,"Honey is extremely nutritious in pure natural foods, with over 180 essential nutrients for the human body"
F00047,Pepper (Capsicum Annuum),Capsicum annuum,Chili pepper,"Capsicum annuum is a domesticated species of the plant genus Capsicum native to southern North America and northern South America. The three species C. annuum, C. frutescens and C. chinense all evolved from a single common ancestor located somewhere in the northwest Brazil - Colombia area. Capsicum annuum is the most common and extensively cultivated of the five domesticated capsicums.",Vegetables,Fruit vegetables,30492,FOOD00040,NA,4072,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Capsicum,"Capsicum Annuum can be used as both fresh vegetables and seasoning, and dried chili peppers and chili powder are important export products in China."
F00048,Soy Bean,Glycine max,NA,"The soybean (US) or soya bean (UK) (Glycine max) is a species of legume native to East Asia, widely grown for its edible bean which has numerous uses. The plant is classed as an oilseed rather than a pulse by the UN Food and Agricultural Organization (FAO).",Soy,Soy,26716,FOOD00085,1217,3847,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Glycine,NA
F00049,Bayberry,Myrica,NA,"Myrica is a genus of about 35-50 species of small trees and shrubs in the family Myricaceae, order Fagales. The genus has a wide distribution, including Africa, Asia, Europe, North America and South America, and missing only from Australia.",Fruits,Berries,19260,FOOD00209,NA,3509,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Myricaceae,No Rank at Level Genus,NA
F00050,Garden Onion,Allium cepa,NA,"The onion (Allium cepa) (Latin 'cepa' = onion), also known as the bulb onion or common onion, is used as a vegetable and is the most widely cultivated species of the genus Allium.",Vegetables,Onion-family vegetables,42720,FOOD00006,716,4679,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Allium,NA
F00051,Soy Milk,NA,NA,"Soy milk is a beverage made from soybeans. A stable emulsion of oil, water, and protein, it is produced by soaking dry soybeans and grinding them with water.",Soy,Soy products,NA,FOOD00736,1702,NA,NA,NA,NA,NA,NA,NA,NA,NA
F00052,Miso,NA,NA,"Miso is a traditional Japanese seasoning produced by fermenting rice, barley and/or soybeans, with salt, the most typical miso being made with soy.",Soy,Soy products,NA,FOOD00695,679,NA,NA,NA,NA,NA,NA,NA,NA,NA
F00053,Bilberry,Vaccinium myrtillus,NA,"Bilberry is any of several species of low-growing shrubs in the genus Vaccinium, bearing edible berries. The species most often referred to is Vaccinium myrtillus L. , but there are several other closely related species.",Fruits,Berries,23605,FOOD00193,NA,180763,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Ericaceae,Vaccinium,NA
F00054,Tofu,NA,NA,"Tofu is a food made by coagulating soy milk and then pressing the resulting curds into soft white blocks. It is part of East Asian and Southeast Asian cuisine such as Chinese, Japanese, Korean, Indonesian, Vietnamese, and others. There are many different varieties of tofu, including fresh tofu and tofu that has been processed in some way. ",Soy,Soy products,NA,FOOD00696,272,NA,NA,NA,NA,NA,NA,NA,NA,NA
F00055,Soy Sauce,NA,NA,"Soy sauce (also called soya sauce) is a condiment produced by fermenting soybeans with Aspergillus oryzae or Aspergillus sojae molds, along with water and salt. After the fermentation, which yields fermented soybean paste, the paste is pressed, and two substances are obtained: a liquid, which is the soy sauce, and a cake of (wheat and) soy residue, the latter being usually reused as animal feed. Soy sauce is a traditional ingredient in East and Southeast Asian cuisines, where it is used in cooking and as a condiment.",Soy,Soy products,NA,FOOD00694,92,NA,NA,NA,NA,NA,NA,NA,NA,NA
F00056,Fava Bean,Vicia faba,NA,"Vicia faba, also known as the broad bean, fava bean, faba bean, field bean, bell bean, or tic bean, is a species of bean (Fabaceae) native to North Africa, southwest and south Asia, and extensively cultivated elsewhere.",Pulses,Beans,26339,FOOD00197,NA,3906,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,NA
F00057,Beer,NA,NA,"Beer is an alcoholic beverage produced by the saccharification of starch and fermentation of the resulting sugar. The starch and saccharification enzymes are often derived from malted cereal grains, most commonly malted barley and malted wheat. Most beer is also flavoured with hops, which add bitterness and act as a natural preservative, though other flavourings such as herbs or fruit may occasionally be included.",Beverages,Fermented beverages,NA,FOOD00268,178,NA,NA,NA,NA,NA,NA,NA,NA,NA
F00058,Cheese,NA,NA,"Cheese is a food derived from milk that is produced in a wide range of flavors, textures, and forms by coagulation of the milk protein casein. It comprises proteins and fat from milk, usually the milk of cows, buffalo, goats, or sheep. During production, the milk is usually acidified, and adding the enzyme rennet causes coagulation. The solids are separated and pressed into final form. Some cheeses have molds on the rind or throughout.",Milk and milk products,Fermented milk products,NA,FOOD00617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F00059,Durian,Durio zibethinus,NA,"The durian is the fruit of several tree species belonging to the genus Durio and the family Malvacea (although some taxonomists place Durio in a distinct family, Durionaceae). Regarded by many people in southeast Asia as the ""king of fruits"", the durian is distinctive for its large size, strong odour, and formidable thorn-covered husk. The fruit can grow as large as 30 centimetres (12 in) long and 15 centimetres (6 in) in diameter, and it typically weighs one to three kilograms (2 to 7 lb). Its shape ranges from oblong to round, the colour of its husk green to brown, and its flesh pale yellow to red, depending on the species. The edible flesh emits a distinctive odour that is strong and penetrating even when the husk is intact.",Fruits,Tropical fruits,506099,FOOD00355,NA,66656,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Durio,NA
F00060,Fiber,NA,NA,"Dietary fiber is a polysaccharide that cannot be digested and absorbed by the gastrointestinal tract, nor can it generate energy. Therefore, it was once considered a ""nutrient free substance"" and has not received sufficient attention for a long time.",Others,Chemical Compound,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F00061,Walnut,Juglans,NA,"A walnut is an edible seed of any tree of the genus Juglans, especially the Persian or English walnut, Juglans regia. Broken nutmeats of the eastern black walnut from the tree Juglans nigra are also commercially available in small quantities, as are foods prepared with butternut nutmeats from Juglans cinerea. Walnut seeds are a high density source of nutrients, particularly proteins and essential fatty acids.",Nuts,Nuts,19248,FOOD00608,647,16718,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Juglandaceae,No Rank at Level Genus,NA
F00062,Skipjack Tuna,Katsuwonus pelamis,NA,"The skipjack tuna, Katsuwonus pelamis, is a medium-sized perciform fish in the tuna family, Scombridae. It is otherwise known as the aku, arctic bonito, mushmouth, oceanic bonito, striped tuna, or victor fish.",Aquatic foods,Fishes,172401,FOOD00476,NA,8226,Eukaryota,Metazoa,Chordata,Actinopteri,Scombriformes,Scombridae,Katsuwonus,NA
F00063,Albacore Tuna,Thunnus alalunga,NA,"The albacore, Thunnus alalunga, is a species of tuna in the family Scombridae. This species is also called albacore fish, albacore tuna, albicore, albie, pigfish, tombo ahi, binnaga, Pacific albacore, German bonito (but see bonito), longfin, longfin tuna, longfin tunny, or even just tuna. It is the only tuna species which may be marketed as ""white meat tuna"" in the United States.",Aquatic foods,Fishes,172419,FOOD00514,NA,8235,Eukaryota,Metazoa,Chordata,Actinopteri,Scombriformes,Scombridae,Thunnus,NA
F00064,Yellowfin Tuna,Thunnus albacares,NA,The yellowfin tuna (Thunnus albacares) is a species of tuna found in pelagic waters of tropical and subtropical oceans worldwide.,Aquatic foods,Fishes,172423,FOOD00511,NA,8236,Eukaryota,Metazoa,Chordata,Actinopteri,Scombriformes,Scombridae,Thunnus,NA
F00065,Northern Bluefin Tuna,Thunnus thynnus,NA,"The Atlantic bluefin tuna (Thunnus thynnus) is a species of tuna in the Scombridae family. It is variously known as the northern bluefin tuna (mainly when including Pacific bluefin as a subspecies), giant bluefin tuna (for individuals exceeding 150 kilograms or around 330 pounds) and formerly as the tunny.",Aquatic foods,Fishes,172421,FOOD00305,NA,8237,Eukaryota,Metazoa,Chordata,Actinopteri,Scombriformes,Scombridae,Thunnus,NA
F00066,Broccoli,Brassica oleracea var. italica,NA,"Broccoli is an edible green plant in the cabbage family, whose large flowering head is used as a vegetable. The word broccoli comes from the Italian plural of broccolo, which means ""the flowering top of a cabbage"", and is the diminutive form of brocco, meaning ""small nail"" or ""sprout"". Broccoli is often boiled or steamed but may be eaten raw.",Vegetables,Cabbages,530961,FOOD00034,17,36774,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,NA
F00067,Molasses,NA,NA,"Molasses is a viscous by-product of the processing of sugar cane, grapes or sugar beets into sugar. The quality of molasses depends on the maturity of the sugar cane or sugar beet, the amount of sugar extracted, and the method of extraction. ",Baking goods,Baking goods,NA,FOOD00786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
